transaction_id,sender_id,receiver_id,amount,currency,timestamp,channel,account_id
T0000046,P004997,P001723,11467.85,GBP,2025-06-28T16:07:26,crypto,ACC-COORD-P004997
T0000047,P002327,P004995,17027.61,GBP,2025-01-22T07:50:35,crypto,ACC-P002327
T0000048,P000799,P004997,62671.93,EUR,2025-05-01T10:22:26,crypto,ACC-P000799
T0000049,P004995,P002327,23967.88,GBP,2025-09-10T12:49:44,crypto,ACC-COORD-P004995
T0000050,P000738,P004999,12015.52,EUR,2025-10-05T06:34:38,crypto,ACC-P000738
T0000051,P002327,P004995,23615.69,EUR,2025-01-27T04:15:40,bank_transfer,ACC-P002327
T0000052,P004995,P002887,9602.47,EUR,2025-09-23T04:58:52,crypto,ACC-COORD-P004995
T0000053,P004996,P003265,38534.79,EUR,2025-01-25T10:19:33,crypto,ACC-COORD-P004996
T0000054,P004996,P002547,10521.09,USD,2025-02-21T12:26:56,bank_transfer,ACC-COORD-P004996
T0000055,P004998,P001544,69259.29,GBP,2025-01-17T20:42:54,bank_transfer,ACC-COORD-P004998
T0000056,P001087,P004998,45824.53,USD,2025-07-06T20:08:16,bank_transfer,ACC-P001087
T0000057,P000777,P004998,43364.46,EUR,2025-06-10T15:06:42,bank_transfer,ACC-P000777
T0000058,P005000,P003232,49241.99,USD,2025-01-12T14:09:17,crypto,ACC-COORD-P005000
T0000059,P004998,P000777,90857.81,GBP,2025-12-13T16:55:36,crypto,ACC-COORD-P004998
T0000060,P000005,P004995,54599.77,EUR,2025-11-26T07:21:35,crypto,ACC-P000005
T0000061,P004995,P000316,24822.24,USD,2025-06-15T14:19:46,crypto,ACC-COORD-P004995
T0000062,P004999,P000738,99348.77,EUR,2025-12-26T15:22:30,crypto,ACC-COORD-P004999
T0000063,P000799,P004997,11064.8,GBP,2025-02-01T07:55:38,crypto,ACC-P000799
T0000064,P002327,P004995,61171.75,EUR,2025-07-24T04:36:41,bank_transfer,ACC-P002327
T0000065,P004998,P000600,91001.59,USD,2025-06-11T03:09:57,bank_transfer,ACC-COORD-P004998
T0000066,P004995,P002327,22921.84,USD,2025-01-13T02:07:28,crypto,ACC-COORD-P004995
T0000067,P004995,P001396,47197.72,USD,2025-04-09T10:33:12,bank_transfer,ACC-COORD-P004995
T0000068,P004995,P001396,90459.94,EUR,2025-12-08T23:08:12,bank_transfer,ACC-COORD-P004995
T0000069,P001053,P004999,73621.05,GBP,2025-10-25T13:12:00,crypto,ACC-P001053
T0000070,P005000,P000422,72191.62,USD,2025-10-13T04:43:51,bank_transfer,ACC-COORD-P005000
T0000071,P000600,P004998,24958.85,EUR,2025-06-23T15:49:05,bank_transfer,ACC-P000600
T0000072,P002207,P004996,14770.33,GBP,2025-09-23T01:22:09,bank_transfer,ACC-P002207
T0000073,P004999,P000738,71763.42,USD,2025-06-25T07:00:42,bank_transfer,ACC-COORD-P004999
T0000074,P002215,P004997,48292.62,GBP,2025-04-12T05:55:15,crypto,ACC-P002215
T0000075,P001723,P004997,93347.86,GBP,2025-06-24T01:53:57,bank_transfer,ACC-P001723
T0000076,P003265,P004996,10049.68,USD,2025-10-05T14:16:07,bank_transfer,ACC-P003265
T0000077,P004995,P000515,44370.79,GBP,2025-12-30T21:15:55,bank_transfer,ACC-COORD-P004995
T0000078,P003265,P004996,48632.89,USD,2025-03-07T12:56:13,crypto,ACC-P003265
T0000079,P004997,P001733,52056.95,EUR,2025-09-02T02:47:10,bank_transfer,ACC-COORD-P004997
T0000080,P004998,P000777,20009.48,USD,2025-11-26T16:49:48,crypto,ACC-COORD-P004998
T0000081,P000965,P004997,60320.79,GBP,2025-08-22T14:35:01,crypto,ACC-P000965
T0000082,P003265,P004996,51218.12,GBP,2025-12-05T15:11:48,bank_transfer,ACC-P003265
T0000083,P004998,P000777,13743.88,USD,2025-11-17T06:48:01,bank_transfer,ACC-COORD-P004998
T0000084,P004997,P000799,56423.44,EUR,2025-01-17T03:27:23,bank_transfer,ACC-COORD-P004997
T0000085,P004995,P002887,61252.0,EUR,2025-01-17T09:15:45,bank_transfer,ACC-COORD-P004995
T0000086,P005000,P002934,36102.98,GBP,2025-03-02T22:27:01,crypto,ACC-COORD-P005000
T0000087,P002215,P004997,62613.36,EUR,2025-11-27T21:49:31,crypto,ACC-P002215
T0000088,P005000,P002934,81657.58,EUR,2025-02-19T16:00:28,crypto,ACC-COORD-P005000
T0000089,P000965,P004997,67462.77,GBP,2025-04-14T04:45:41,crypto,ACC-P000965
T0000090,P002215,P004997,77566.47,GBP,2025-07-22T11:21:30,bank_transfer,ACC-P002215
T0000091,P000433,P004999,63609.25,USD,2025-11-21T11:56:14,bank_transfer,ACC-P000433
T0000092,P002758,P004999,42365.61,USD,2025-03-27T15:14:34,bank_transfer,ACC-P002758
T0000093,P004998,P002164,63220.21,GBP,2025-06-21T03:59:24,crypto,ACC-COORD-P004998
T0000094,P003232,P005000,92757.36,EUR,2025-07-24T15:59:48,bank_transfer,ACC-P003232
T0000095,P003232,P005000,69626.0,USD,2025-04-26T12:16:38,crypto,ACC-P003232
T0000096,P000316,P004995,48608.74,EUR,2025-12-20T04:18:23,crypto,ACC-P000316
T0000097,P002758,P004999,90889.71,EUR,2025-01-15T11:56:05,bank_transfer,ACC-P002758
T0000098,P001053,P004999,17959.81,USD,2025-02-15T20:09:39,bank_transfer,ACC-P001053
T0000099,P002164,P004998,11729.51,USD,2025-06-10T15:25:53,bank_transfer,ACC-P002164
T0000100,P004998,P001087,20890.22,GBP,2025-07-29T05:15:17,bank_transfer,ACC-COORD-P004998
T0000101,P005000,P002934,70204.77,USD,2025-05-03T21:46:00,crypto,ACC-COORD-P005000
T0000102,P004999,P002758,17156.32,USD,2025-04-17T15:27:49,crypto,ACC-COORD-P004999
T0000103,P001733,P004997,38279.57,USD,2025-12-17T15:21:47,bank_transfer,ACC-P001733
T0000104,P000600,P004998,25826.03,EUR,2025-02-01T00:35:00,bank_transfer,ACC-P000600
T0000105,P001733,P004997,27630.25,GBP,2025-07-12T23:49:20,bank_transfer,ACC-P001733
T0000106,P003265,P004996,15124.9,EUR,2025-12-28T00:21:52,bank_transfer,ACC-P003265
T0000107,P004995,P002327,7559.71,GBP,2025-07-02T08:08:46,bank_transfer,ACC-COORD-P004995
T0000108,P004996,P003265,22258.1,GBP,2025-04-07T20:27:13,crypto,ACC-COORD-P004996
T0000109,P001053,P004999,26777.78,USD,2025-01-22T06:32:09,bank_transfer,ACC-P001053
T0000110,P000005,P004995,85087.88,GBP,2025-02-06T04:44:19,bank_transfer,ACC-P000005
T0000111,P004995,P000316,76638.62,EUR,2025-02-04T11:49:11,bank_transfer,ACC-COORD-P004995
T0000112,P000316,P004995,15558.68,USD,2025-06-13T21:57:33,bank_transfer,ACC-P000316
T0000113,P004995,P001396,72215.22,EUR,2025-01-08T07:35:31,bank_transfer,ACC-COORD-P004995
T0000114,P004997,P002215,87464.39,GBP,2025-10-23T02:37:08,crypto,ACC-COORD-P004997
T0000115,P002207,P004996,24679.95,USD,2025-11-08T00:59:55,crypto,ACC-P002207
T0000116,P004997,P000799,28012.86,USD,2025-12-01T02:57:25,crypto,ACC-COORD-P004997
T0000117,P004998,P001087,28761.05,GBP,2025-09-21T12:31:14,crypto,ACC-COORD-P004998
T0000118,P001396,P004995,87057.83,EUR,2025-01-30T05:23:00,bank_transfer,ACC-P001396
T0000119,P004999,P001053,20534.64,USD,2025-02-13T22:48:02,crypto,ACC-COORD-P004999
T0000120,P004999,P001053,50372.5,USD,2025-02-01T06:31:37,bank_transfer,ACC-COORD-P004999
T0000121,P002887,P004995,25210.08,GBP,2025-12-12T02:51:09,crypto,ACC-P002887
T0000122,P002215,P004997,63352.93,USD,2025-02-15T19:21:51,bank_transfer,ACC-P002215
T0000123,P004996,P003265,80068.2,USD,2025-02-15T13:50:53,bank_transfer,ACC-COORD-P004996
T0000124,P004999,P001053,86513.78,GBP,2025-11-11T01:50:11,crypto,ACC-COORD-P004999
T0000125,P002215,P004997,30616.73,GBP,2025-09-14T04:05:12,crypto,ACC-P002215
T0000126,P004998,P000600,19646.4,EUR,2025-07-13T22:08:11,crypto,ACC-COORD-P004998
T0000127,P000422,P005000,68315.61,GBP,2025-07-26T14:30:46,bank_transfer,ACC-P000422
T0000128,P004995,P000316,33665.42,USD,2025-03-30T18:31:29,crypto,ACC-COORD-P004995
T0000129,P000777,P004998,31569.26,EUR,2025-07-15T09:23:24,bank_transfer,ACC-P000777
T0000130,P004999,P002758,91543.6,USD,2025-03-22T10:44:51,crypto,ACC-COORD-P004999
T0000131,P001053,P004999,32687.85,EUR,2025-11-18T04:59:39,crypto,ACC-P001053
T0000132,P004999,P000433,44267.02,GBP,2025-10-06T22:31:09,bank_transfer,ACC-COORD-P004999
T0000133,P004998,P000600,29111.65,USD,2025-07-10T21:12:58,crypto,ACC-COORD-P004998
T0000134,P004998,P000600,36578.66,USD,2025-12-26T02:09:08,bank_transfer,ACC-COORD-P004998
T0000135,P001087,P004998,13337.21,EUR,2025-04-04T21:23:12,bank_transfer,ACC-P001087
T0000136,P004997,P001723,92196.49,GBP,2025-07-20T21:40:02,bank_transfer,ACC-COORD-P004997
T0000137,P001723,P004997,68119.86,USD,2025-06-22T07:39:32,bank_transfer,ACC-P001723
T0000138,P000433,P004999,44612.41,USD,2025-05-18T13:20:38,crypto,ACC-P000433
T0000139,P005000,P002934,27254.56,USD,2025-01-14T11:16:11,crypto,ACC-COORD-P005000
T0000140,P004997,P000799,80801.04,EUR,2025-07-31T08:26:34,crypto,ACC-COORD-P004997
T0000141,P004998,P000777,80996.42,USD,2025-05-16T22:11:02,bank_transfer,ACC-COORD-P004998
T0000142,P002044,P005000,57615.44,USD,2025-11-12T19:18:20,bank_transfer,ACC-P002044
T0000143,P005000,P000422,7424.88,GBP,2025-03-22T15:14:15,bank_transfer,ACC-COORD-P005000
T0000144,P004997,P000965,94567.43,USD,2025-11-25T01:02:05,crypto,ACC-COORD-P004997
T0000145,P004995,P000316,23271.06,USD,2025-06-02T05:15:36,crypto,ACC-COORD-P004995
T0000146,P000422,P005000,47761.38,EUR,2025-04-11T07:07:24,crypto,ACC-P000422
T0000147,P000316,P004995,70800.95,EUR,2025-01-18T14:21:48,bank_transfer,ACC-P000316
T0000148,P000600,P004998,45764.16,GBP,2025-04-24T09:21:49,crypto,ACC-P000600
T0000149,P004998,P001544,93051.32,EUR,2025-01-20T16:37:23,crypto,ACC-COORD-P004998
T0000150,P004998,P002164,71730.8,EUR,2025-09-01T07:48:09,bank_transfer,ACC-COORD-P004998
T0000151,P002547,P004996,84090.05,EUR,2025-12-06T01:20:56,bank_transfer,ACC-P002547
T0000152,P004997,P000799,29369.26,USD,2025-07-14T07:29:26,crypto,ACC-COORD-P004997
T0000153,P004995,P000515,34171.78,GBP,2025-11-25T00:15:05,bank_transfer,ACC-COORD-P004995
T0000154,P004996,P003265,60397.5,USD,2025-01-14T15:29:29,crypto,ACC-COORD-P004996
T0000155,P001723,P004997,85086.69,GBP,2025-06-02T00:21:57,crypto,ACC-P001723
T0000156,P004995,P002887,6521.74,EUR,2025-11-18T13:04:46,bank_transfer,ACC-COORD-P004995
T0000157,P005000,P002044,67421.69,USD,2025-01-01T22:41:47,crypto,ACC-COORD-P005000
T0000158,P004996,P002207,5330.47,USD,2025-12-20T10:44:13,crypto,ACC-COORD-P004996
T0000159,P003265,P004996,15469.35,USD,2025-02-06T05:12:55,bank_transfer,ACC-P003265
T0000160,P000600,P004998,24596.99,USD,2025-03-15T12:09:05,bank_transfer,ACC-P000600
T0000161,P004998,P001087,80011.29,EUR,2025-06-25T05:12:41,crypto,ACC-COORD-P004998
T0000162,P005000,P002044,25615.88,USD,2025-07-22T15:34:27,bank_transfer,ACC-COORD-P005000
T0000163,P001087,P004998,16039.37,GBP,2025-04-17T16:54:21,crypto,ACC-P001087
T0000164,P000965,P004997,75881.33,GBP,2025-10-30T11:02:56,bank_transfer,ACC-P000965
T0000165,P004995,P001396,27613.49,GBP,2025-05-02T04:50:24,bank_transfer,ACC-COORD-P004995
T0000166,P003265,P004996,36185.18,GBP,2025-12-31T23:28:33,bank_transfer,ACC-P003265
T0000167,P000005,P004995,28571.08,GBP,2025-06-30T23:38:38,crypto,ACC-P000005
T0000168,P000777,P004998,10933.94,GBP,2025-08-23T11:57:02,bank_transfer,ACC-P000777
T0000169,P004999,P002758,95187.28,EUR,2025-02-21T10:04:22,bank_transfer,ACC-COORD-P004999
T0000170,P001723,P004997,22769.15,GBP,2025-08-03T09:51:19,bank_transfer,ACC-P001723
T0000171,P001544,P004998,89230.8,USD,2025-04-14T22:21:40,crypto,ACC-P001544
T0000172,P004998,P000600,90516.82,GBP,2025-12-17T23:12:43,crypto,ACC-COORD-P004998
T0000173,P004998,P000777,99371.25,EUR,2025-02-25T03:55:18,crypto,ACC-COORD-P004998
T0000174,P004996,P002547,85621.83,GBP,2025-03-04T20:32:35,bank_transfer,ACC-COORD-P004996
T0000175,P001053,P004999,5534.41,EUR,2025-07-10T19:04:18,bank_transfer,ACC-P001053
T0000176,P002887,P004995,50007.59,EUR,2025-06-03T19:53:30,bank_transfer,ACC-P002887
T0000177,P004996,P002207,99521.84,GBP,2025-09-04T05:40:30,crypto,ACC-COORD-P004996
T0000178,P002758,P004999,40664.09,EUR,2025-12-12T17:44:18,bank_transfer,ACC-P002758
T0000179,P002164,P004998,45886.41,EUR,2025-07-05T05:01:25,crypto,ACC-P002164
T0000180,P004995,P001396,14494.28,USD,2025-10-18T15:49:00,crypto,ACC-COORD-P004995
T0000181,P004995,P001396,30864.29,GBP,2025-10-01T21:16:28,crypto,ACC-COORD-P004995
T0000182,P000965,P004997,20260.1,USD,2025-08-02T04:41:00,crypto,ACC-P000965
T0000183,P004997,P001723,40257.28,GBP,2025-05-03T05:15:53,crypto,ACC-COORD-P004997
T0000184,P004997,P001723,78460.5,USD,2025-07-01T12:29:27,bank_transfer,ACC-COORD-P004997
T0000185,P004995,P002327,97836.67,GBP,2025-10-31T17:11:05,bank_transfer,ACC-COORD-P004995
T0000186,P004995,P000515,90136.65,EUR,2025-02-20T16:13:07,bank_transfer,ACC-COORD-P004995
T0000187,P005000,P002044,52551.74,GBP,2025-07-23T04:10:33,crypto,ACC-COORD-P005000
T0000188,P004998,P000600,59182.87,USD,2025-03-12T16:37:19,bank_transfer,ACC-COORD-P004998
T0000189,P004995,P001396,11084.96,EUR,2025-04-25T10:14:13,bank_transfer,ACC-COORD-P004995
T0000190,P000600,P004998,96060.45,GBP,2025-04-11T12:33:42,bank_transfer,ACC-P000600
T0000191,P004997,P000965,33758.09,EUR,2025-05-03T21:04:20,bank_transfer,ACC-COORD-P004997
T0000192,P004996,P003265,15602.75,USD,2025-01-08T05:53:06,crypto,ACC-COORD-P004996
T0000193,P002164,P004998,68345.1,USD,2025-10-07T17:28:21,crypto,ACC-P002164
T0000194,P004995,P000005,17115.5,GBP,2025-10-16T12:32:39,bank_transfer,ACC-COORD-P004995
T0000195,P004997,P001723,73662.61,USD,2025-02-04T11:25:38,crypto,ACC-COORD-P004997
T0000196,P004999,P000433,97690.59,USD,2025-03-18T15:34:28,crypto,ACC-COORD-P004999
T0000197,P001733,P004997,76220.39,USD,2025-07-27T12:58:40,crypto,ACC-P001733
T0000198,P003265,P004996,95720.25,GBP,2025-12-10T14:38:33,bank_transfer,ACC-P003265
T0000199,P002164,P004998,88942.13,GBP,2025-03-16T08:38:06,bank_transfer,ACC-P002164
T0000200,P001053,P004999,80504.26,EUR,2025-03-09T04:03:50,crypto,ACC-P001053
T0000201,P001053,P004999,8508.57,USD,2025-02-09T05:59:46,bank_transfer,ACC-P001053
T0000202,P004995,P000316,88943.94,EUR,2025-10-11T14:07:30,bank_transfer,ACC-COORD-P004995
T0000203,P000738,P004999,51940.83,USD,2025-08-13T20:50:44,crypto,ACC-P000738
T0000204,P000433,P004999,56669.55,USD,2025-05-15T22:02:05,crypto,ACC-P000433
T0000205,P004996,P003265,20170.76,EUR,2025-07-28T11:36:37,bank_transfer,ACC-COORD-P004996
T0000206,P005000,P003232,45186.07,GBP,2025-03-31T19:46:20,crypto,ACC-COORD-P005000
T0000207,P004998,P001087,25369.29,EUR,2025-10-22T03:16:27,crypto,ACC-COORD-P004998
T0000208,P002164,P004998,72603.67,USD,2025-08-31T06:16:54,crypto,ACC-P002164
T0000209,P000600,P004998,62516.36,USD,2025-10-13T21:27:33,bank_transfer,ACC-P000600
T0000210,P005000,P002934,92845.16,USD,2025-12-29T06:16:59,bank_transfer,ACC-COORD-P005000
T0000211,P002327,P004995,75193.62,EUR,2025-10-03T06:54:53,crypto,ACC-P002327
T0000212,P004998,P000777,31759.85,USD,2025-05-02T13:05:15,bank_transfer,ACC-COORD-P004998
T0000213,P002758,P004999,39432.44,GBP,2025-05-02T01:33:46,crypto,ACC-P002758
T0000214,P004999,P001053,39040.08,USD,2025-07-17T06:59:50,crypto,ACC-COORD-P004999
T0000215,P002934,P005000,69289.59,EUR,2025-06-28T11:46:45,bank_transfer,ACC-P002934
T0000216,P004999,P001053,62699.3,GBP,2025-05-23T03:03:05,bank_transfer,ACC-COORD-P004999
T0000217,P002164,P004998,6154.41,EUR,2025-02-21T06:47:49,crypto,ACC-P002164
T0000218,P002934,P005000,28890.05,USD,2025-09-02T09:55:28,bank_transfer,ACC-P002934
T0000219,P003265,P004996,65313.2,USD,2025-08-28T07:03:55,crypto,ACC-P003265
T0000220,P004997,P002215,77025.8,EUR,2025-02-21T08:19:01,bank_transfer,ACC-COORD-P004997
T0000221,P004995,P001396,83713.04,EUR,2025-03-22T02:20:01,crypto,ACC-COORD-P004995
T0000222,P004997,P000965,55991.35,USD,2025-04-26T10:49:03,crypto,ACC-COORD-P004997
T0000223,P001723,P004997,67590.66,USD,2025-01-03T07:16:01,crypto,ACC-P001723
T0000224,P001087,P004998,48251.2,EUR,2025-01-31T04:05:06,crypto,ACC-P001087
T0000225,P001396,P004995,35297.62,GBP,2025-01-25T15:19:07,bank_transfer,ACC-P001396
T0000226,P004998,P001087,65952.54,GBP,2025-11-14T09:50:01,bank_transfer,ACC-COORD-P004998
T0000227,P004996,P002547,6071.32,USD,2025-04-24T09:16:25,crypto,ACC-COORD-P004996
T0000228,P004997,P001733,70852.41,GBP,2025-02-12T15:02:27,bank_transfer,ACC-COORD-P004997
T0000229,P000965,P004997,57495.29,USD,2025-08-29T05:14:40,bank_transfer,ACC-P000965
T0000230,P004999,P000433,76549.5,USD,2025-12-19T00:49:24,crypto,ACC-COORD-P004999
T0000231,P004997,P000965,63594.9,USD,2025-10-16T13:00:58,crypto,ACC-COORD-P004997
T0000232,P004998,P000777,89606.62,EUR,2025-03-26T00:32:33,crypto,ACC-COORD-P004998
T0000233,P001723,P004997,79780.51,EUR,2025-12-13T23:25:14,bank_transfer,ACC-P001723
T0000234,P001396,P004995,13426.81,EUR,2025-10-26T15:59:49,crypto,ACC-P001396
T0000235,P000600,P004998,82498.5,EUR,2025-01-28T06:51:11,crypto,ACC-P000600
T0000236,P002044,P005000,50231.35,USD,2025-05-01T15:29:47,bank_transfer,ACC-P002044
T0000237,P000515,P004995,24395.61,EUR,2025-06-13T11:56:42,bank_transfer,ACC-P000515
T0000238,P004996,P002547,18360.36,EUR,2025-04-18T13:13:18,crypto,ACC-COORD-P004996
T0000239,P004999,P002758,56912.17,USD,2025-07-16T11:16:17,bank_transfer,ACC-COORD-P004999
T0000240,P004998,P002164,31435.57,GBP,2025-06-17T16:50:40,crypto,ACC-COORD-P004998
T0000241,P002207,P004996,71832.82,EUR,2025-11-01T01:01:01,crypto,ACC-P002207
T0000242,P004997,P001733,88376.7,GBP,2025-04-11T08:30:41,bank_transfer,ACC-COORD-P004997
T0000243,P005000,P002044,6249.76,GBP,2025-11-02T14:40:16,bank_transfer,ACC-COORD-P005000
T0000244,P004998,P000600,20469.38,GBP,2025-03-16T20:07:50,crypto,ACC-COORD-P004998
T0000245,P004999,P000433,44524.46,USD,2025-12-14T07:19:05,crypto,ACC-COORD-P004999
T0000246,P000738,P004999,9806.55,USD,2025-11-24T14:25:16,crypto,ACC-P000738
T0000247,P004995,P002887,42457.49,USD,2025-04-07T13:52:02,bank_transfer,ACC-COORD-P004995
T0000248,P004995,P000005,15016.4,USD,2025-06-10T23:07:59,crypto,ACC-COORD-P004995
T0000249,P004995,P000515,95559.93,GBP,2025-02-07T16:52:09,crypto,ACC-COORD-P004995
T0000250,P001053,P004999,69684.91,GBP,2025-04-11T00:54:01,bank_transfer,ACC-P001053
T0000251,P004998,P000600,74049.18,GBP,2025-08-15T23:38:09,crypto,ACC-COORD-P004998
T0000252,P000965,P004997,32621.12,USD,2025-02-03T01:42:31,bank_transfer,ACC-P000965
T0000253,P004998,P002164,28227.01,GBP,2025-11-20T04:02:55,bank_transfer,ACC-COORD-P004998
T0000254,P003265,P004996,61719.4,EUR,2025-02-02T22:03:29,crypto,ACC-P003265
T0000255,P002044,P005000,79508.34,GBP,2025-02-07T07:36:16,crypto,ACC-P002044
T0000256,P004997,P001723,61646.6,USD,2025-07-08T21:25:27,crypto,ACC-COORD-P004997
T0000257,P002044,P005000,25159.3,EUR,2025-01-27T17:34:00,bank_transfer,ACC-P002044
T0000258,P004998,P000777,28425.04,GBP,2025-11-28T05:23:25,crypto,ACC-COORD-P004998
T0000259,P004997,P001723,22113.8,USD,2025-08-27T07:28:34,bank_transfer,ACC-COORD-P004997
T0000260,P004995,P000316,85792.91,USD,2025-06-04T13:46:32,bank_transfer,ACC-COORD-P004995
T0000261,P004996,P002547,95113.09,USD,2025-02-08T19:21:57,bank_transfer,ACC-COORD-P004996
T0000262,P001053,P004999,86014.47,USD,2025-05-11T20:58:32,crypto,ACC-P001053
T0000263,P000799,P004997,98873.76,USD,2025-09-06T07:58:07,crypto,ACC-P000799
T0000264,P000738,P004999,74643.02,USD,2025-07-16T17:48:19,crypto,ACC-P000738
T0000265,P002044,P005000,31498.56,GBP,2025-09-14T02:29:27,bank_transfer,ACC-P002044
T0000266,P000799,P004997,22060.24,USD,2025-05-18T23:48:24,crypto,ACC-P000799
T0000267,P001723,P004997,21436.41,EUR,2025-07-31T14:00:28,bank_transfer,ACC-P001723
T0000268,P004999,P001053,5577.87,EUR,2025-02-21T14:38:00,bank_transfer,ACC-COORD-P004999
T0000269,P004997,P000965,96470.96,EUR,2025-03-14T22:05:31,crypto,ACC-COORD-P004997
T0000270,P000600,P004998,16569.04,GBP,2025-05-17T18:48:00,crypto,ACC-P000600
T0000271,P003265,P004996,99938.87,GBP,2025-06-13T05:35:47,bank_transfer,ACC-P003265
T0000272,P001723,P004997,73299.78,EUR,2025-09-30T16:43:55,crypto,ACC-P001723
T0000273,P005000,P002934,97229.02,EUR,2025-02-26T18:49:19,bank_transfer,ACC-COORD-P005000
T0000274,P001053,P004999,52839.53,GBP,2025-01-09T10:32:41,bank_transfer,ACC-P001053
T0000275,P001723,P004997,56768.87,GBP,2025-02-05T14:56:06,bank_transfer,ACC-P001723
T0000276,P005000,P000422,17524.85,EUR,2025-09-27T10:25:21,bank_transfer,ACC-COORD-P005000
T0000277,P000777,P004998,86609.27,EUR,2025-04-15T01:55:47,crypto,ACC-P000777
